0.0 25552.0 306572.0 25552.0 306572.0 "during importing meshlib/lib1.py"
0.05506 26284.0 307064.0 732.0 492.0 "during importing of nmag/main.py"
0.06261 26504.0 307416.0 220.0 352.0 "Constructor MagMaterial Class"
0.065433 26540.0 307416.0 36.0 0.0 "beginning Simulation Class Constructor"
0.068741 26580.0 307416.0 40.0 0.0 "end Simulation Class Constructor"
0.069101 26584.0 307416.0 4.0 0.0 "Beginning of load_mesh()"
0.069475 26588.0 307416.0 4.0 0.0 "just before nmesh.load"
0.069647 26592.0 307416.0 4.0 0.0 "beginning of load(bar.nmesh.h5)"
0.07129 27576.0 308020.0 984.0 604.0 "beginning of load_hdf5(bar.nmesh.h5)"
0.072441 28088.0 308536.0 512.0 516.0 "about to open file (bar.nmesh.h5)"
0.132281 28600.0 308792.0 512.0 256.0 "have opened file (bar.nmesh.h5)"
0.170287 35900.0 315616.0 7300.0 6824.0 "have put points in list"
0.396244 71260.0 350944.0 35360.0 35328.0 "have simplices in list"
0.415674 72396.0 352136.0 1136.0 1192.0 "have put simplex regions in list"
0.777265 93676.0 373300.0 21280.0 21164.0 "in mesh_from_points_and_simplices, just before creating ocaml mesh"
0.778 93684.0 373300.0 8.0 0.0 "_py_mesh_from_points_and_simplices: beginning of function"
1.075 115756.0 395536.0 22072.0 22236.0 "_py_mesh_from_points_and_simplices: Before read_mesh"
2.46 253236.0 533652.0 137480.0 138116.0 "Entering mesh_grow_bookkeeping_data"
2.65 264540.0 544728.0 11304.0 11076.0 "Completed compulsory part of mesh_grow_bookkeeping_data"
2.65 264544.0 544728.0 4.0 0.0 "Before computing mesh connectivity"
4.497 325480.0 605488.0 60936.0 60760.0 "after computing mesh connectivity"
4.762 326572.0 606484.0 1092.0 996.0 "Entering mesh_grow_bookkeeping_data"
5.039 331860.0 611584.0 5288.0 5100.0 "Completed compulsory part of mesh_grow_bookkeeping_data"
5.04 331860.0 611584.0 0.0 0.0 "Before computing incircle and circumcirle radii"
6.768 343852.0 625640.0 11992.0 14056.0 "After computing incircle and circumcirle radii"
6.808 344044.0 625640.0 192.0 0.0 "_py_mesh_from_points_and_simplices: Before optional reordering"
6.809 344048.0 625640.0 4.0 0.0 "_py_mesh_from_points_and_simplices: before do_distribute"
6.816 344096.0 625640.0 48.0 0.0 "_py_mesh_from_points_and_simplices: very end before returning ocamlpill"
6.817602 344096.0 625640.0 0.0 0.0 "in mesh_from_points_and_simplices, just after creating ocaml mesh"
6.818562 344100.0 625640.0 4.0 0.0 "beginning meshBaseClass constructor"
6.819566 344104.0 625640.0 4.0 0.0 "Adding the raw_mesh to class"
6.820627 344112.0 625640.0 8.0 0.0 "End __init__"
6.839994 344124.0 625640.0 12.0 0.0 "just after nmesh.load"
9.637729 345532.0 625640.0 1408.0 0.0 "just before creating lam"
