# d/lex	Hc/MsM[111]  	Mrx  		Mry		max-angle
  0.8 	0.0631		0.5773740 	1.00000 	7.00000E-05
  1.0 	0.0612		0.5773501 	1.00000 	7.00000E-05
  2.0 	0.0594		0.5773470 	0.999996 	4.27499E-05
  3.0 	0.0596		0.5773384 	0.999981 	-1.24466E-07
  4.0 	0.0594 		0.5773172 	0.999942 	4.14687E-05
  5.0 	0.0592 		0.5772781 	0.999876 	3.95000E-05
  6.0 	0.0585 		0.5772195 	0.999777 	-7.30804E-08
  7.0 	0.0583 		0.5771367 	0.999596 	8.22480E-08
  8.0 	0.0580 		0.5770244 	0.999439 	3.25319E-05
  9.0 	0.0576 		0.5769020 	0.999191 	6.88017E-05
  10.0 	0.0573 		0.5956421 	0.996272 	3.54161E-02
  11.0 	0.0568 		0.6069226 	0.989998 	6.12417E-02
  12.0 	0.0565 		0.6106740 	0.985207 	7.25276E-02
  13.0 	0.0560 		0.6120005 	0.981448 	7.85834E-02
  14.0 	0.0556 		0.6122172 	0.978436 	8.19699E-02
  15.0 	0.0549 		0.6118625 	0.975986 	8.38084E-02
  16.0 	0.0541 		0.6112075 	0.973947 	8.47102E-02
  17.0 	0.0534 		0.6103936 	  	 
  18.0 	0.0529 		0.6095005 	0.970768 	8.49321E-02
  20.0 	0.0518 		0.6076426 	  	 
